x_or,y_or
0.555430311076383,0.0
0.46793860329666037,0.46793860329666037
4.827908427802778e-17,0.7884572810975631
-0.6642590285735016,0.6642590285735017
-1.1192491149988213,1.3706848461318144e-16
-0.9429443391351879,-0.9429443391351877
-2.918619380696978e-16,-1.5888223895679063
1.3385501565805364,-1.338550156580537
2.2554019045125004,-5.524141446304156e-16
1.9001296760793274,1.9001296760793265
9.802196284333586e-16,3.2016402741290815
-2.6973160237347367,2.6973160237347433
-4.544866449042464,1.6697568448116152e-15
-3.828956425178452,-3.8289564251784562
-2.7653404966382712e-15,-6.451633934811966
5.435368780264628,-5.435368780264643
9.158372615676479,-4.486308683674789e-15
