x_ce,y_ce
1.4054161077944416,0.0
1.1840341396879936,1.1840341396879936
1.2216150498234973e-16,1.995048777613322
-1.6807875261541207,1.6807875261541212
-2.8320577820206427,3.4682704977519327e-16
-2.3859503821568206,-2.38595038215682
-7.385039326001925e-16,-4.020228162189935
3.386959468422586,-3.386959468422588
5.706887260094489,-1.397784243233905e-15
4.80793503776368,4.807935037763677
2.4802687709045002e-15,8.101172591579417
-6.825071142088849,6.825071142088865
-11.499963880041836,4.225018186801023e-15
-9.688482836956272,-9.688482836956283
-6.997194787551377e-15,-16.324694696633223
13.753219230659566,-13.753219230659603
23.173608171134124,-1.1351794028589741e-14
