theta,largeur
0.0,1.8274694629438262
0.7853981633974483,2.1773308419668385
1.5707963267948966,2.594171717508882
2.356194490192345,3.0908150338071034
3.141592653589793,3.6825386340969164
3.9269908169872414,4.387545240749184
4.71238898038469,5.227522411137364
5.497787143782138,6.228309694711484
6.283185307179586,7.420693514501276
7.0685834705770345,8.841354225355712
7.853981633974483,10.533994482518223
8.63937979737193,12.55068363164241
9.42477796076938,14.95345947664865
10.210176124166829,17.81623669933204
10.995574287564276,21.227080637915694
11.780972450961723,25.29091637099036
12.566370614359172,30.132756444233937
